rostime,x,y,z,rot_x,rot_y,rot_z
1337088227995115995,-0.147004291268,-4.00915703557,1.26273281288,-0.452898156178,0.54690982445,0.473023780128,0.521556715501
1337088228005022048,-0.146970387388,-4.00924916609,1.26287565772,-0.453165699881,0.546625953913,0.47297905436,0.521662466635
1337088228014863967,-0.146969917181,-4.00928516822,1.26288250757,-0.453017491454,0.546556961722,0.473162018032,0.521697560586
1337088228025098085,-0.146962855416,-4.00940342049,1.26293498673,-0.452983688643,0.546538676863,0.472896430804,0.521986798923
1337088228034857988,-0.146906971733,-4.00952303901,1.26295013521,-0.453153165828,0.546456461643,0.472514436335,0.52227162596
1337088228045021057,-0.146847036041,-4.00962107029,1.26296740853,-0.453206442857,0.546289777633,0.472488910719,0.522422844307
1337088228054790019,-0.14680018764,-4.00972496165,1.26294268752,-0.453084145535,0.546081805681,0.472530592954,0.522708577787
1337088228064788103,-0.146748806223,-4.00981673248,1.26299560878,-0.453041058822,0.545988539488,0.47222581304,0.523118624471
1337088228075119018,-0.14670068413,-4.00993142673,1.2629798628,-0.45277866787,0.545467076174,0.472442649365,0.523693698447
1337088228084868907,-0.146688741253,-4.00999403058,1.26294415176,-0.452620818992,0.545395495319,0.472867024296,0.523521656892
1337088228095179080,-0.146681220053,-4.01008708074,1.26293691129,-0.452412038217,0.545108458017,0.473025635066,0.523857676516
1337088228104965925,-0.146679627155,-4.01012936059,1.26283465636,-0.452218716108,0.544873592012,0.473480903919,0.523857647795
1337088228115017890,-0.146691914956,-4.01023279804,1.26277139826,-0.451871444683,0.544884810947,0.473886556859,0.523778838354
1337088228125047922,-0.146686120614,-4.01036053788,1.26267979512,-0.451920381974,0.544771913914,0.474057540861,0.523699320335
1337088228134895086,-0.146668014196,-4.01047512123,1.26257744747,-0.451766215106,0.544818647497,0.47410938522,0.523736784153
1337088228144994974,-0.14662471405,-4.01063271161,1.26249867143,-0.451860409001,0.544839930793,0.474124663506,0.523619541314
1337088228154918909,-0.146592072897,-4.01083956956,1.2623989619,-0.452160560779,0.544967065566,0.47356775835,0.523732090841
1337088228164897918,-0.146586000248,-4.01095190901,1.26216398491,-0.4523215787,0.544966218785,0.473505232424,0.523650460415
1337088228175282955,-0.146461241026,-4.01119694224,1.26210725506,-0.453168495417,0.544993114177,0.472925673392,0.523413916235
