rostime,x,y,z,rot_x,rot_y,rot_z
1337088376216831922,-0.136513528635,-4.50239707199,1.38549417072,-0.410851298933,0.565862363799,0.47378746213,0.535281641876
1337088376226743936,-0.136708080017,-4.50242418995,1.38570363708,-0.410573162057,0.566131026154,0.474145755979,0.534893579987
1337088376237185001,-0.13693426408,-4.50257301796,1.38604414178,-0.410893551479,0.566724512224,0.473656579918,0.534452299928
1337088376246784925,-0.137162046707,-4.50270483488,1.38635168413,-0.410751746184,0.567155137858,0.473621321619,0.534135653477
1337088376256808042,-0.137425851888,-4.50283475677,1.38670253631,-0.410748356814,0.567666809244,0.473595848322,0.53361704762
1337088376266726016,-0.137623084673,-4.50300011048,1.38702236773,-0.41082105195,0.567863317766,0.473547902848,0.533394506269
1337088376276782989,-0.137824041569,-4.50309889281,1.38733976961,-0.410868372558,0.568177737724,0.473487464239,0.533076786209
1337088376287102937,-0.138078074389,-4.50328338009,1.3876312213,-0.411209726148,0.568566299531,0.473607011,0.532292516658
1337088376296751022,-0.13840234236,-4.50344857688,1.3879453309,-0.411245615842,0.56902442383,0.474125119872,0.53131310848
1337088376306859970,-0.138681882223,-4.5036211299,1.38827294623,-0.411266751502,0.569412657342,0.474855497316,0.53022744312
1337088376316679954,-0.139100977929,-4.50373527908,1.3886545043,-0.411111703966,0.569611240317,0.475784298679,0.529300956827
1337088376326636075,-0.139572756437,-4.50382349564,1.38902419789,-0.410860422151,0.569861477113,0.476731437078,0.528373681512
1337088376337048053,-0.14012275815,-4.50408635136,1.38960449912,-0.411238122677,0.570396527548,0.476667831089,0.527559273091
1337088376346669912,-0.140609350575,-4.50424747709,1.3901066101,-0.410970155132,0.570535424423,0.477245005853,0.527095878809
1337088376356976032,-0.141071128851,-4.50447853846,1.39080454479,-0.410711290416,0.571048887085,0.478125910769,0.525942029063
1337088376366620063,-0.141787774798,-4.5045686752,1.39151242083,-0.410073777211,0.571924923172,0.478716199101,0.524949693035
1337088376376801967,-0.142425022402,-4.50477928085,1.39230854203,-0.409279833307,0.572559109905,0.479526022685,0.524138223451
1337088376387375116,-0.143128450418,-4.505078261,1.39308690686,-0.408526661568,0.57313841242,0.480329203692,0.523356649979
1337088376396840095,-0.14383760938,-4.50533138896,1.39390977859,-0.407661843179,0.573230606456,0.481451541287,0.522898562658
1337088376406672954,-0.144560211866,-4.50540472319,1.39453752635,-0.406713730195,0.574130614491,0.482512246427,0.521670308934
1337088376416606903,-0.14522479438,-4.50547773953,1.39530098567,-0.405870459284,0.573905527571,0.483360988097,0.521789009935
1337088376426827907,-0.145979316966,-4.50578367354,1.39615685236,-0.405106735632,0.573799649377,0.483551687754,0.52232198919
1337088376437062978,-0.146998333736,-4.5062098582,1.39697723249,-0.405001916722,0.575377491455,0.484218226211,0.520045093414
1337088376446784019,-0.147749887742,-4.50650853299,1.39753373047,-0.404594938245,0.575980192864,0.484737277627,0.519210482418
1337088376456780910,-0.14854716029,-4.50696555715,1.39814423146,-0.404541830984,0.576935132542,0.484769607974,0.518160387339
1337088376466763019,-0.149273679488,-4.50719600151,1.39860619347,-0.404608517309,0.577133336389,0.484783483538,0.517874534842
1337088376476826906,-0.150130355727,-4.50743376058,1.39909806724,-0.404422597861,0.576813196943,0.485654215975,0.517560509195
1337088376486970901,-0.151005071376,-4.5076243175,1.39968156071,-0.403980711863,0.576775841229,0.486764018762,0.516904249795
1337088376496741056,-0.152034869607,-4.50798006248,1.40023779429,-0.403843596361,0.576951178891,0.487830950681,0.515808734331
1337088376506915092,-0.15320834108,-4.50846659955,1.40077952031,-0.403719089629,0.576994568544,0.489035066226,0.514716299083
1337088376516668081,-0.154121429657,-4.50881590487,1.40128873672,-0.402989384679,0.576907642358,0.490218952087,0.514259182747
1337088376526856899,-0.155067132319,-4.50918209255,1.40156214289,-0.402545737631,0.577195325825,0.490558778035,0.513959697111
1337088376537012100,-0.15612987773,-4.50960614988,1.40199957491,-0.40200077249,0.577711215274,0.490949715529,0.513433060375
1337088376546690940,-0.157129353551,-4.51005590138,1.40246088797,-0.401528302537,0.577580171761,0.491884952079,0.513054930167
1337088376556761026,-0.157926529702,-4.51054264576,1.4028283393,-0.400607106161,0.577142792752,0.493907786061,0.512323376527
1337088376566817998,-0.158860374766,-4.51077813458,1.40300330691,-0.400840897078,0.57690021091,0.495049263562,0.51131100959
1337088376576864957,-0.159819229414,-4.51110926558,1.40323492902,-0.400831327104,0.576482053959,0.496533762939,0.510349792728
1337088376587035894,-0.160567560145,-4.51142585852,1.40343705831,-0.401153192677,0.576531980922,0.497386998947,0.509208370176
