rostime,x,y,z,rot_x,rot_y,rot_z
1331830614559458017,9.89282657227,-192.361349912,902.431762266,3.1193817559,-0.0322176089992,2.95301499747
1331830614569557905,10.1138521446,-193.337937993,902.66100421,3.11678535737,-0.0317817991511,2.95200076719
1331830614579627037,10.2142419144,-194.298484506,902.953474291,3.11330457406,-0.0308876283571,2.95088633493
1331830614589554071,10.2155307325,-195.59818964,903.666066501,3.10565253449,-0.030740898004,2.9494480445
1331830614599412918,10.3095842731,-195.72691702,903.893759709,3.11441202301,-0.0305425599774,2.9563636143
1331830614609565973,10.5650665305,-197.764981353,904.1304504,3.11588813507,-0.0283558021389,2.94520698861
1331830614619786024,10.7324891916,-198.817653531,904.707847899,3.11713318963,-0.0288209287111,2.94313263031
1331830614629559040,10.8188166475,-199.800339536,905.324819782,3.11419817741,-0.0276573099344,2.94279123367
1331830614639677047,10.9591844708,-201.160142392,906.075853597,3.10937582064,-0.0269349615544,2.94061894433
1331830614649791955,11.0273854353,-202.293272679,906.740966319,3.10609297153,-0.0281524967563,2.93968653448
1331830614659549951,10.9302637907,-203.223785011,907.443838934,3.09461576739,-0.0288154700628,2.94069489301
1331830614669641971,10.9026410905,-204.19817994,908.459802584,3.09313653631,-0.0304016035814,2.94024488724
1331830614679543972,11.0426268802,-205.30882703,909.842619421,3.08895752665,-0.031667019412,2.93725537015
1331830614689570903,11.1814234759,-206.226112767,911.262045336,3.08843750098,-0.0354547430624,2.93566819822
1331830614699434041,11.2144538021,-207.064043705,912.570550207,3.08910644083,-0.0377051815097,2.93630169111
1331830614709531068,11.4850924862,-207.909925997,914.039633219,3.09903182222,-0.0402653411545,2.93512612037
1331830614719790935,11.8042756736,-208.750147003,915.63725335,3.08813723626,-0.0411310737998,2.93246932235
1331830614729552984,12.0814446801,-209.650395365,917.264354967,3.08793730563,-0.042165154884,2.93114374431
1331830614739639997,12.3155371243,-210.401240275,918.899265619,3.08888403186,-0.0430961008789,2.93177762962
1331830614749835014,12.2806142393,-210.994443511,920.800672834,3.0901462178,-0.0462717121375,2.92927309972
1331830614759635925,12.5022822894,-211.875508058,922.989347799,3.09194261925,-0.0466088939958,2.92535301304
1331830614769643068,12.5796927103,-212.522607185,924.608608724,3.09389157401,-0.0476062070436,2.92322815475
1331830614779498100,12.5422202969,-213.12472357,926.690131092,3.09851755295,-0.0495324103708,2.92209957439
1331830614789581060,12.540110699,-212.666175557,929.212672038,3.10076897216,-0.055714559835,2.92597561994
1331830614799607992,12.6346250006,-213.678738367,930.531419401,3.10380475336,-0.0559125606517,2.9178454172
1331830614809551954,12.6872487458,-213.939673158,932.223503216,3.10776478897,-0.0603555607957,2.91701038476
1331830614819828033,12.8243157422,-214.208891264,933.84575355,3.10875711427,-0.0638551874534,2.91872440852
1331830614829498052,12.9545857351,-214.442808365,935.303924872,3.11350568789,-0.066478619947,2.91933436474
1331830614839529991,13.1853760799,-214.696911532,936.598071426,3.11564288661,-0.0681653367673,2.91946816294
1331830614849664926,13.359030015,-214.924557111,937.549752354,3.11589216891,-0.068070561029,2.9195649973
1331830614859373092,13.7247259576,-215.016856103,938.266972906,3.11618874143,-0.0701388577864,2.92034431802
1331830614869570016,14.1517144053,-215.108681473,938.709848728,3.11709071493,-0.0736408273977,2.92122063764
1331830614879693031,14.5898227195,-215.12343596,939.183815969,3.11544190406,-0.0721225754906,2.92356787291
1331830614889394044,14.963677248,-215.169527301,939.194467803,3.11635256304,-0.0752845059516,2.92399612443
1331830614899593114,15.3158897384,-214.988906802,939.358864731,3.11501883943,-0.0737955232188,2.92575407386
1331830614909357070,15.495101334,-214.913048372,939.213577394,3.11426162493,-0.0751126546287,2.9259382836
1331830614919498920,15.7023689467,-214.758892593,939.179002807,3.11131301838,-0.0733022724543,2.92648405698
1331830614929600954,16.1177117043,-214.523206809,938.981312813,3.10791606877,-0.0729429326949,2.92726849135
1331830614939723014,16.3621134605,-214.332207118,938.816784518,3.10515043429,-0.0719310916409,2.92874331728
1331830614949567079,16.587986297,-214.084763394,938.563746811,3.10254905416,-0.0724182799025,2.92956854635
1331830614959564924,16.881421794,-213.880088665,938.298355608,3.10050350497,-0.0727654510033,2.93077851695
1331830614970174074,17.1545154542,-213.637155182,938.10827161,3.09792250155,-0.072612110965,2.93207623597
1331830614979511022,17.3706649733,-213.408688674,937.887330575,3.09620068634,-0.0727046489746,2.93348123098
1331830614989536046,17.5216123233,-213.165064359,937.726880781,3.09459680158,-0.0721250954227,2.93458672698
1331830614999536037,17.6429324231,-213.009313008,937.585292428,3.0941273861,-0.0710836391215,2.93459845923
1331830615009479999,17.7212682698,-212.828438485,937.604704028,3.09494728571,-0.0698497303712,2.93424427841
1331830615019598007,17.7466478586,-212.694141646,937.608165949,3.09692619906,-0.0691406867806,2.9332314492
1331830615029601097,17.5944339916,-211.860008851,938.15780072,3.09944902335,-0.0708612673168,2.93832565529
1331830615039670944,17.8322967382,-212.517345895,938.115501112,3.11442967422,-0.0680437410748,2.93099562816
1331830615049576997,17.8067967785,-212.489761085,938.41003074,3.11454639741,-0.0679008106723,2.92931420346
1331830615059537887,17.8619355823,-212.307985218,938.371075964,3.11763187514,-0.0661080382947,2.92879971658
1331830615069746017,17.9839677507,-212.084694983,937.898977749,3.12515018153,-0.0618218750141,2.92846852007
1331830615079642057,18.1792959377,-212.06679507,937.516802175,3.12761770889,-0.0597257221183,2.92726574448
1331830615089596986,18.4986572836,-212.159971374,936.958196402,3.13014925848,-0.0591096015325,2.92676509501
1331830615099538087,18.666701157,-212.210091851,936.240841896,3.13086123702,-0.0582103371435,2.92656758996
1331830615109568119,18.9266915106,-212.091218842,935.069854365,3.12225034566,-0.051803376232,2.92808957469
1331830615119894027,18.9154629567,-212.312817994,934.266647487,3.11974197082,-0.049956952959,2.92846574417
1331830615129467010,18.5141886994,-212.73340738,934.336319256,3.12105471409,-0.0613255754508,2.92637926786
1331830615139609098,18.5251292193,-212.72726694,933.848242394,3.11905596115,-0.05898296647,2.92714621838
1331830615150057077,18.6809061426,-212.569744904,932.837425485,3.10770057834,-0.0531526925718,2.92919219051
1331830615159558057,18.5251424081,-212.641400067,932.534628677,3.10558473204,-0.0541873059878,2.92957700276
1331830615169713020,18.5042421745,-212.646856645,932.23698306,3.10699578744,-0.0549363165108,2.92913947175
