MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs,x,y,z,rot_x,rot_y,rot_z,rot_w
8,1348766469,380783081,1348766469,374144137,-0.0434499333481,-3.05831030682,0.117306401661,-0.00178988012164,0.00757924391394,-0.0263516108949,0.999622400706
9,1348766469,390708923,1348766469,384138150,-0.0434218536616,-3.05830044314,0.117305528142,-0.00136973800467,0.00767104990511,-0.0262643783949,0.999624660179
10,1348766469,400820970,1348766469,394178193,-0.0434454649136,-3.05828056124,0.117295884065,-0.00127191490549,0.00785526531173,-0.0263812487457,0.999620281284
11,1348766469,411286115,1348766469,404206994,-0.0434313978697,-3.0583043876,0.117324320831,-0.00137125577893,0.00781538902588,-0.0264019764773,0.999619915263
12,1348766469,420732975,1348766469,414164326,-0.0434486729718,-3.05829236629,0.117289559481,-0.00187510711806,0.00768564912128,-0.026517524105,0.999617044516
13,1348766469,430773973,1348766469,424191251,-0.0434655225354,-3.05833421797,0.117292081269,-0.00206535395346,0.00787205953744,-0.0262350394512,0.99962267266
14,1348766469,440629005,1348766469,434160001,-0.0434700343123,-3.05830278894,0.11730317199,-0.00164329670191,0.00779860910326,-0.0262115245987,0.999624648181
15,1348766469,450645923,1348766469,444139210,-0.0433843107075,-3.05826663866,0.117293101218,-0.000373006757994,0.00797980463232,-0.0252697357021,0.999648750333
16,1348766469,461349964,1348766469,454265963,-0.043438432832,-3.05832520493,0.117265872277,-0.0019994273997,0.00753505309797,-0.0264041650656,0.999620950827
17,1348766469,470727920,1348766469,464177575,-0.0434436220151,-3.05831064821,0.117292862468,-0.00177818046689,0.00752657052616,-0.0264163669953,0.999621110404
18,1348766469,480709075,1348766469,474122871,-0.0434534530803,-3.05828457387,0.117282902756,-0.00116372584644,0.00765587622778,-0.0264856781072,0.999619198573
19,1348766469,490717887,1348766469,484192662,-0.0434445853133,-3.05833789872,0.117303804195,-0.00163961633393,0.00812854129626,-0.0262491022449,0.999621039748
20,1348766469,500694990,1348766469,494153117,-0.0434749302983,-3.05830473053,0.117298603147,-0.00183850072152,0.00792820780049,-0.0263932728975,0.999618506522
21,1348766469,510840892,1348766469,504194552,-0.0434267454818,-3.05830950073,0.117328952789,-0.00140326629978,0.00791414692957,-0.0266490815165,0.999612536724
22,1348766469,520684003,1348766469,514159486,-0.0432518295101,-3.05836848869,0.117440170632,-0.00171541727334,0.00790798558008,-0.0255062964168,0.999641910861
23,1348766469,530930042,1348766469,524170895,-0.0434750082468,-3.05859886172,0.117473553597,-0.00145786365718,0.00794790775426,-0.0278775169416,0.99957868597
