MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs,x,y,z,rot_x,rot_y,rot_z,rot_w
3,1348765041,631928920,1348765041,625294503,0.0620732884794,-2.95719614469,0.26081807652,-0.000310550723415,0.000911295441101,0.000751539099128,0.999999254144
4,1348765041,642055988,1348765041,635336868,0.0620963063225,-2.95714735501,0.26077890951,-0.000373470415839,0.000804996613977,0.000567431740988,0.999999445261
5,1348765041,654175996,1348765041,645329550,0.0621140703663,-2.95720671054,0.260785716634,-0.000624090648256,0.000931019869651,0.000812519391357,0.999999041762
6,1348765041,662095069,1348765041,655398220,0.0620995641336,-2.957162782,0.260793165229,-0.000163397705068,0.00103034954129,0.000611422059609,0.999999268922
7,1348765041,672612905,1348765041,665334590,0.0621113441861,-2.95717987896,0.260760999019,-0.00077681289876,0.0010923346296,0.000550043436999,0.999998950409
8,1348765041,681981086,1348765041,675338523,0.0621226897288,-2.95717546738,0.260800377502,-0.000494386135024,0.000837992804369,0.000549999319592,0.999999375425
9,1348765041,692213058,1348765041,685541404,0.0621850790869,-2.95712259467,0.260734615306,-0.000178296176484,0.000354226297576,5.18826813509e-05,0.999999920021
10,1348765041,702085971,1348765041,695378601,0.0621139906803,-2.95718080806,0.260735757624,-0.000479212249583,0.000784518935051,0.000709212779763,0.999999325951
11,1348765041,712038040,1348765041,705384477,0.0620863677584,-2.9572048113,0.260772522771,-0.000435902153462,0.000883116777252,0.000549713044835,0.999999363955
12,1348765041,722280025,1348765041,715418056,0.0621128596077,-2.95719069673,0.260773441603,-0.000518021751377,0.000564639052475,0.000589505387745,0.99999953266
13,1348765041,732186079,1348765041,725492392,0.0620906918155,-2.9572056173,0.260784522045,-0.000386421560928,0.00105083049424,0.00071124846771,0.999999120279
14,1348765041,742187976,1348765041,735374346,0.0621274593808,-2.95720272869,0.260820403742,-0.000306915517406,0.0008902709067,0.000545126044988,0.999999408029
15,1348765041,751907110,1348765041,745351342,0.0620988776924,-2.95716019808,0.260734337242,-0.000761064090325,0.000967578573044,0.000425947530347,0.999999151571
16,1348765041,762106895,1348765041,755373761,0.0620745240098,-2.95717136012,0.260775651304,-0.000520311092842,0.000928973087139,0.000513687646318,0.999999301205
17,1348765041,772602081,1348765041,765382069,0.0621065170619,-2.95716007611,0.260802007123,-0.000133433189799,0.000743974604057,0.000318229779778,0.999999663714
18,1348765041,782083034,1348765041,775418959,0.0620849474949,-2.95715906332,0.260750764193,-0.000717264024761,0.000978083604694,0.000583770439568,0.999999094048
19,1348765041,792165994,1348765041,785411056,0.0621450663593,-2.95719507605,0.26076216463,-0.000471855426619,0.000800550109066,0.000515544474215,0.999999435343
20,1348765041,802194118,1348765041,795482920,0.0620901946491,-2.95715307664,0.260835679921,-6.34226486012e-05,0.000793147802084,0.000742026514251,0.999999408145
21,1348765041,812197923,1348765041,805395447,0.0621114321473,-2.95719257226,0.260811241013,-0.000273211500988,0.000732928541704,0.000634039365698,0.999999493083
22,1348765041,822724103,1348765041,815423122,0.0620996183382,-2.95716709535,0.260770447065,-0.000207319729546,0.00100786292358,0.000335105779029,0.999999414467
23,1348765041,832043886,1348765041,825391160,0.0621112469516,-2.95716816103,0.260782937073,-0.000225188785281,0.000979403373715,0.000577951557063,0.999999328015
24,1348765041,842015981,1348765041,835351196,0.0620949461671,-2.95715122926,0.260764008943,-0.000478051813472,0.000771197824822,0.000549788451618,0.999999437226
25,1348765041,851821899,1348765041,845252543,0.0621414424234,-2.957211964,0.260828433299,-1.25249755255e-05,0.00117677976696,0.000365459469298,0.999999240736
26,1348765041,862044095,1348765041,855396371,0.0620854045172,-2.9572001779,0.260813559271,-0.000166808446815,0.000738762819672,0.000573683084917,0.999999548646
27,1348765041,872433900,1348765041,865320800,0.0620737140532,-2.95718806998,0.26077459863,-0.000361541451296,0.000914345367946,0.000626300751326,0.999999320504
28,1348765041,882071018,1348765041,875295277,0.0619992504385,-2.95711626313,0.260754513529,-0.000256689224263,0.0004085291013,0.0011345266807,0.999999240032
29,1348765041,892178058,1348765041,885348520,0.0620876898309,-2.95718772966,0.260800207478,-0.000274720459759,0.00074081303647,0.000481547671758,0.999999571918
30,1348765041,902003049,1348765041,895323958,0.0621009388355,-2.95720370933,0.26078228,-0.000534059735546,0.000797501000399,0.000469890478197,0.999999428987
31,1348765041,912269115,1348765041,905358518,0.061926700261,-2.95713011759,0.26077429355,-0.000160733906689,0.00118079241678,0.00130028877483,0.99999844457
32,1348765041,922564029,1348765041,915301146,0.0620898051055,-2.95715882766,0.260756239902,-0.0004049678041,0.000776675574757,0.000578594796389,0.999999449002
33,1348765041,932066917,1348765041,925426884,0.0620890956342,-2.95719484064,0.260748784016,-0.00106021772335,0.00110502519458,0.000708563647522,0.999998576397
34,1348765041,942127943,1348765041,935345575,0.0621107747904,-2.95719667401,0.260767634723,-0.00038624257283,0.000795698350597,0.000674456630545,0.999999381394
35,1348765041,951967954,1348765041,945384059,0.0620750518786,-2.95716578276,0.260755591744,-0.000659222925602,0.00083658572945,0.000666055709122,0.999999210959
36,1348765041,961946010,1348765041,955336125,0.0621101816529,-2.95715037517,0.26080008761,-0.000389337032046,0.000960272697633,0.000448218754895,0.999999362696
37,1348765041,972414970,1348765041,965351389,0.0620861991619,-2.95719311929,0.260778979017,-0.000572709575832,0.00103242664796,0.000426962429873,0.999999211901
38,1348765041,982131004,1348765041,975448583,0.062116373312,-2.9571837065,0.260820023092,-0.000585960311091,0.000899986431593,0.000444231656365,0.999999324666
39,1348765041,992161989,1348765041,985394114,0.0620873017579,-2.95714900571,0.260800386332,-0.000108267233178,0.000763408839886,0.000371712076972,0.999999633658
40,1348765042,2000093,1348765041,995435370,0.0621260797914,-2.95716084618,0.260714412996,-0.000702139313578,0.00077535085778,0.000420098812695,0.999999364674
41,1348765042,12109041,1348765042,5401452,0.0621036671366,-2.9571893907,0.260754259049,-0.000700348883988,0.000906470343717,0.000589156340686,0.999999170359
42,1348765042,22866010,1348765042,15475337,0.0621305879551,-2.95718774192,0.260810302351,-0.000197631752439,0.000994394129471,0.000472572282026,0.999999374399
43,1348765042,32197952,1348765042,25429684,0.062108264894,-2.95720609235,0.26084572408,-0.000197438921489,0.000924835102645,0.000488331602706,0.999999433615
44,1348765042,42049884,1348765042,35364190,0.062090252338,-2.95719457705,0.260808282842,-0.000198975413488,0.000798597348004,0.000604503679357,0.999999478613
45,1348765042,51954030,1348765042,45346653,0.0621492870758,-2.95722536867,0.260744512702,-0.000707970808109,0.00086742122604,0.000346126741284,0.999999313277
46,1348765042,62154054,1348765042,55442362,0.062099054364,-2.95720225824,0.260776745334,-0.000818613473241,0.000751659849204,0.000636041188535,0.999999180165
47,1348765042,72494029,1348765042,65356963,0.0620930632367,-2.95717961655,0.260763368428,-0.000727740942359,0.00107784946343,0.000799841209541,0.999998834443
48,1348765042,82222938,1348765042,75416296,0.0622075471983,-2.95715902048,0.260736928984,-0.000466130851476,0.000432891041875,0.000162046606993,0.999999784534
49,1348765042,92192888,1348765042,85449212,0.0620941904881,-2.95721175421,0.260754847564,-0.0005962241146,0.00104195820023,0.000462224587975,0.999999172594
50,1348765042,102077007,1348765042,95455115,0.0621804447695,-2.95709852276,0.260744127294,-0.000245325854322,0.000451091652583,5.11936160841e-05,0.999999866855
51,1348765042,112009048,1348765042,105320657,0.0621253624781,-2.95719177488,0.260755128389,-0.000511001075716,0.000968389471617,0.000512830601223,0.999999269052
52,1348765042,122395038,1348765042,115426705,0.062077454438,-2.9571696495,0.260804786394,-0.000128520102809,0.000971205962485,0.000514340206867,0.999999387848
