MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs
3,1348765041,214334964,1348765041,213837780
4,1348765041,280883073,1348765041,280385135
5,1348765041,348109006,1348765041,346976064
6,1348765041,415005922,1348765041,413811157
7,1348765041,481462001,1348765041,480371051
8,1348765041,548387050,1348765041,547050851
9,1348765041,614974975,1348765041,613808764
10,1348765041,681600093,1348765041,680422288
11,1348765041,747896909,1348765041,746979976
12,1348765041,815094947,1348765041,813840940
13,1348765041,881516933,1348765041,880328812
14,1348765041,947688102,1348765041,946984161
15,1348765042,15136003,1348765042,13859178
16,1348765042,81537008,1348765042,80358057
17,1348765042,148139953,1348765042,146953948
18,1348765042,214975118,1348765042,213808769
19,1348765042,281538963,1348765042,280358173
20,1348765042,348475933,1348765042,346962935
21,1348765042,414889097,1348765042,413738318
22,1348765042,481558084,1348765042,480385558
23,1348765042,548176050,1348765042,546954729
24,1348765042,614968061,1348765042,613805508
25,1348765042,681478023,1348765042,680333026
26,1348765042,748344898,1348765042,747017570
27,1348765042,814862012,1348765042,813731035
28,1348765042,881553888,1348765042,880359258
29,1348765042,948071956,1348765042,946956129
30,1348765043,15068054,1348765043,13812396
31,1348765043,81466913,1348765043,80346454
32,1348765043,148114919,1348765043,146977332
33,1348765043,214884042,1348765043,213764003
34,1348765043,281666994,1348765043,280380442
35,1348765043,348140954,1348765043,346980946
36,1348765043,414572000,1348765043,413738565
37,1348765043,481571912,1348765043,480379080
38,1348765043,548018932,1348765043,546966333
39,1348765043,615015029,1348765043,613809116
40,1348765043,681567907,1348765043,680355273
41,1348765043,748130083,1348765043,746981128
42,1348765043,814985990,1348765043,813809808
43,1348765043,881521940,1348765043,880368375
44,1348765043,948190927,1348765043,947014869
45,1348765044,14841079,1348765044,13738355
46,1348765044,81444025,1348765044,80342849
47,1348765044,147806882,1348765044,146986746
48,1348765044,214823961,1348765044,213754576
49,1348765044,281661033,1348765044,280490101
50,1348765044,348180055,1348765044,347009658
51,1348765044,415055990,1348765044,413810985
52,1348765044,481184959,1348765044,480360717
53,1348765044,548111915,1348765044,546989263
54,1348765044,614922046,1348765044,613725698
55,1348765044,681613922,1348765044,680439125
56,1348765044,748151063,1348765044,746983413
57,1348765044,814909934,1348765044,813769205
58,1348765044,881181001,1348765044,880351955
59,1348765044,948230981,1348765044,947012803
60,1348765045,14981031,1348765045,13807994
61,1348765045,81521987,1348765045,80385856
62,1348765045,148243904,1348765045,147008851
63,1348765045,214850902,1348765045,213735762
64,1348765045,281491041,1348765045,280357180
65,1348765045,347924947,1348765045,347011938
66,1348765045,414865016,1348765045,413785792
67,1348765045,481367111,1348765045,480328061
68,1348765045,547768115,1348765045,546952181
69,1348765045,614877939,1348765045,613731014
70,1348765045,681209087,1348765045,680357540
71,1348765045,748132944,1348765045,746982455
72,1348765045,814601898,1348765045,813736025
73,1348765045,881464958,1348765045,880328598
74,1348765045,947838068,1348765045,947010391
75,1348765046,14741897,1348765046,13681988
76,1348765046,81151962,1348765046,80330597
77,1348765046,147821903,1348765046,146957161
78,1348765046,214551925,1348765046,213724832
79,1348765046,281229019,1348765046,280356348
80,1348765046,347852945,1348765046,346978464
81,1348765046,414587020,1348765046,413766908
82,1348765046,481466054,1348765046,480324242
83,1348765046,548090934,1348765046,546986951
84,1348765046,615037918,1348765046,613847720
85,1348765046,681488037,1348765046,680332063
86,1348765046,748073101,1348765046,746959992
87,1348765046,814831018,1348765046,813739695
88,1348765046,881544113,1348765046,880389486
89,1348765046,948076963,1348765046,947003128
90,1348765047,14878034,1348765047,13772422
91,1348765047,81509113,1348765047,80365118
92,1348765047,148310899,1348765047,146989695
93,1348765047,215014934,1348765047,213808008
