%DLR Intertial Motion Unit recording log.  Contain the  information of the IMU .
Angular Velocity Covariance,0.000436332312999,0.0,0.0,0.0,0.000436332312999,0.0,0.0,0.0,0.000436332312999
Acceleration Covariance,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs,ROT_X,ROT_Y,ROT_Z,ROT_W,ROTVEL_X,ROTVEL_Y,ROTVEL_Z,ACC_X,ACC_Y,ACC_Z
1,1348765041,169118881,1348765041,168762922,0.391263423682,0.920252333544,0.00675874704237,0.00170153842382,-0.0473258569837,-0.023522073403,0.00549509096891,0.0328463204205,0.0784088149667,-9.84681987762
2,1348765041,180382966,1348765041,179975032,0.391323357681,0.92022577782,0.00686983020149,0.00183112025082,-0.035727057606,-0.0153984827921,0.0127988327295,0.0156928729266,0.0857922881842,-9.86492824554
3,1348765041,189102888,1348765041,188764095,0.39138554596,0.920198156493,0.00698828436077,0.00196750660995,-0.0374826565385,-0.0162650030106,0.0136628709733,0.0328535251319,0.085649497807,-9.83957195282
4,1348765041,200229883,1348765041,199907064,0.391386817445,0.920196251977,0.00713752178191,0.00206706594065,-0.0402371250093,-0.00676840916276,0.000357084791176,0.0254348758608,0.090648137033,-9.8595123291
5,1348765041,209135055,1348765041,208811998,0.391432268229,0.920175100234,0.00734701821387,0.00214140658298,-0.049395956099,0.00230257608928,0.0101765245199,0.0230778045952,0.0711780190468,-9.85951805115
6,1348765041,220262050,1348765041,219856023,0.391479629876,0.920152538162,0.00761419079726,0.00224276728814,-0.0614738278091,0.00143118260894,0.0109796840698,0.0133140478283,0.0808614566922,-9.85773849487
7,1348765041,229032993,1348765041,228733062,0.391488765235,0.920147437026,0.00773938784655,0.00231142938692,-0.033466681838,-0.00318893161602,0.00222353823483,0.0133695220575,0.07593780756,-9.85040283203
8,1348765041,240207910,1348765041,239864110,0.391501728878,0.920140674222,0.00786741364203,0.00237481150991,-0.0335687883198,-0.00314544979483,0.00399759225547,0.0327715836465,0.0761110931635,-9.86383724213
9,1348765041,249190092,1348765041,248805046,0.3915019892,0.920138717082,0.00804296949142,0.00249888412114,-0.0470987521112,-0.00943212024868,0.000283807952655,0.0181512832642,0.0857608616352,-9.85991477966
10,1348765041,260279893,1348765041,259948968,0.391573829362,0.92010660185,0.00820121041958,0.00255294709634,-0.041055239737,0.00238753389567,0.014707009308,0.013234462589,0.0858237221837,-9.86994075775
11,1348765041,269146919,1348765041,268857002,0.391631922803,0.920080396424,0.00833462701289,0.00265238568801,-0.037468649447,-0.00830113794655,0.0128526631743,0.013355018571,0.0856306627393,-9.84560585022
12,1348765041,280316114,1348765041,279922962,0.391616090722,0.92008542346,0.00846503738495,0.00282739574912,-0.0441796816885,-0.0201921537519,-0.00514138210565,0.013355018571,0.0856306627393,-9.84560585022
13,1348765041,289143085,1348765041,288811922,0.391558587418,0.920107626595,0.0086928519904,0.00287444346285,-0.0507849231362,0.00895508471876,-0.0120594762266,0.0133502148092,0.0808035433292,-9.85043716431
14,1348765041,300138950,1348765041,299810886,0.391557988482,0.920105814938,0.00890057743515,0.0029001196802,-0.0488362498581,0.00918895099312,-0.000459489354398,0.0231332797557,0.0662543699145,-9.85218334198
15,1348765041,309099912,1348765041,308778047,0.391624094712,0.920075916718,0.00906644008738,0.00294543397326,-0.0393297709525,0.00416653230786,0.0147206848487,0.0328945890069,0.0662444829941,-9.84673309326
